url;Pases;Pases_link;Idh;Rankin Gi Dh;Var
https://datosmacro.expansion.com/idh;Moldavia [+];https://datosmacro.expansion.com/idh/moldavia;0,7;112º;2
https://datosmacro.expansion.com/idh;Mongolia [+];https://datosmacro.expansion.com/idh/mongolia;0,741;92º;0
https://datosmacro.expansion.com/idh;Montenegro [+];https://datosmacro.expansion.com/idh/montenegro;0,814;50º;0
https://datosmacro.expansion.com/idh;Mozambique [+];https://datosmacro.expansion.com/idh/mozambique;0,437;180º;1
https://datosmacro.expansion.com/idh;Namibia [+];https://datosmacro.expansion.com/idh/namibia;0,647;129º;1
https://datosmacro.expansion.com/idh;Nepal [+];https://datosmacro.expansion.com/idh/nepal;0,574;149º;1
https://datosmacro.expansion.com/idh;Nicaragua [+];https://datosmacro.expansion.com/idh/nicaragua;0,658;124º;1
https://datosmacro.expansion.com/idh;Níger [+];https://datosmacro.expansion.com/idh/niger;0,354;189º;1
https://datosmacro.expansion.com/idh;Nigeria [+];https://datosmacro.expansion.com/idh/nigeria;0,532;157º;1
https://datosmacro.expansion.com/idh;Noruega [+];https://datosmacro.expansion.com/idh/noruega;0,953;1º;0
https://datosmacro.expansion.com/idh;Nueva Zelanda [+];https://datosmacro.expansion.com/idh/nueva-zelanda;0,917;16º;0
https://datosmacro.expansion.com/idh;Omán [+];https://datosmacro.expansion.com/idh/oman;0,821;48º;1
https://datosmacro.expansion.com/idh;Pakistán [+];https://datosmacro.expansion.com/idh/pakistan;0,562;150º;1
https://datosmacro.expansion.com/idh;Palaos [+];https://datosmacro.expansion.com/idh/palaos;0,798;60º;1
https://datosmacro.expansion.com/idh;Panamá [+];https://datosmacro.expansion.com/idh/panama;0,789;66º;0
https://datosmacro.expansion.com/idh;Papúa Nueva Guinea [+];https://datosmacro.expansion.com/idh/papua-nueva-guinea;0,544;153º;2
https://datosmacro.expansion.com/idh;Paraguay [+];https://datosmacro.expansion.com/idh/paraguay;0,702;110º;2
https://datosmacro.expansion.com/idh;Perú [+];https://datosmacro.expansion.com/idh/peru;0,75;89º;3
https://datosmacro.expansion.com/idh;Polonia [+];https://datosmacro.expansion.com/idh/polonia;0,865;33º;-1
https://datosmacro.expansion.com/idh;Portugal [+];https://datosmacro.expansion.com/idh/portugal;0,847;41º;-1
https://datosmacro.expansion.com/idh;Reino Unido [+];https://datosmacro.expansion.com/idh/uk;0,922;14º;0
https://datosmacro.expansion.com/idh;República Centroafricana [+];https://datosmacro.expansion.com/idh/republica-centroafricana;0,367;188º;1
https://datosmacro.expansion.com/idh;República Checa [+];https://datosmacro.expansion.com/idh/republica-checa;0,888;27º;0
https://datosmacro.expansion.com/idh;República del Congo [+];https://datosmacro.expansion.com/idh/congo;0,606;137º;4
https://datosmacro.expansion.com/idh;República Democrática del Congo [+];https://datosmacro.expansion.com/idh/republica-democratica-congo;0,457;176º;0
https://datosmacro.expansion.com/idh;República Dominicana [+];https://datosmacro.expansion.com/idh/republica-dominicana;0,736;94º;-1
https://datosmacro.expansion.com/idh;Ruanda [+];https://datosmacro.expansion.com/idh/ruanda;0,524;158º;1
https://datosmacro.expansion.com/idh;Rumanía [+];https://datosmacro.expansion.com/idh/rumania;0,811;52º;0
https://datosmacro.expansion.com/idh;Rusia [+];https://datosmacro.expansion.com/idh/rusia;0,816;49º;0
https://datosmacro.expansion.com/idh;Samoa [+];https://datosmacro.expansion.com/idh/samoa;0,713;104º;0
https://datosmacro.expansion.com/idh;San Cristóbal y Nieves [+];https://datosmacro.expansion.com/idh/san-cristobal-nieves;0,778;72º;0
https://datosmacro.expansion.com/idh;San Vicente y las Granadinas [+];https://datosmacro.expansion.com/idh/san-vicente-las-granadinas;0,723;99º;0
https://datosmacro.expansion.com/idh;Santa Lucía [+];https://datosmacro.expansion.com/idh/santa-lucia;0,747;90º;-1
https://datosmacro.expansion.com/idh;Santo Tomé y Príncipe [+];https://datosmacro.expansion.com/idh/santo-tome-principe;0,589;143º;-1
https://datosmacro.expansion.com/idh;Senegal [+];https://datosmacro.expansion.com/idh/senegal;0,505;164º;-1
https://datosmacro.expansion.com/idh;Serbia [+];https://datosmacro.expansion.com/idh/serbia;0,787;67º;1
https://datosmacro.expansion.com/idh;Seychelles [+];https://datosmacro.expansion.com/idh/seychelles;0,797;62º;0
https://datosmacro.expansion.com/idh;Sierra Leona [+];https://datosmacro.expansion.com/idh/sierra-leona;0,419;184º;0
https://datosmacro.expansion.com/idh;Singapur [+];https://datosmacro.expansion.com/idh/singapur;0,932;9º;1
https://datosmacro.expansion.com/idh;Siria [+];https://datosmacro.expansion.com/idh/siria;0,536;155º;2
https://datosmacro.expansion.com/idh;Sri Lanka [+];https://datosmacro.expansion.com/idh/sri-lanka;0,77;76º;0
https://datosmacro.expansion.com/idh;Suazilandia [+];https://datosmacro.expansion.com/idh/suazilandia;0,588;144º;3
https://datosmacro.expansion.com/idh;Sudáfrica [+];https://datosmacro.expansion.com/idh/sudafrica;0,699;113º;2
https://datosmacro.expansion.com/idh;Sudán [+];https://datosmacro.expansion.com/idh/sudan;0,502;167º;2
https://datosmacro.expansion.com/idh;Sudán del Sur [+];https://datosmacro.expansion.com/idh/sudan-del-sur;0,388;187º;1
https://datosmacro.expansion.com/idh;Suecia [+];https://datosmacro.expansion.com/idh/suecia;0,933;7º;0
https://datosmacro.expansion.com/idh;Suiza [+];https://datosmacro.expansion.com/idh/suiza;0,944;2º;0
https://datosmacro.expansion.com/idh;Surinam [+];https://datosmacro.expansion.com/idh/surinam;0,72;100º;0
https://datosmacro.expansion.com/idh;Tailandia [+];https://datosmacro.expansion.com/idh/tailandia;0,755;83º;-3
https://datosmacro.expansion.com/idh;Tanzania [+];https://datosmacro.expansion.com/idh/tanzania;0,538;154º;0
https://datosmacro.expansion.com/idh;Tayikistán [+];https://datosmacro.expansion.com/idh/tayikistan;0,65;127º;0
https://datosmacro.expansion.com/idh;Timor Oriental [+];https://datosmacro.expansion.com/idh/timor-oriental;0,625;132º;2
https://datosmacro.expansion.com/idh;Togo [+];https://datosmacro.expansion.com/idh/togo;0,503;165º;1
https://datosmacro.expansion.com/idh;Tonga [+];https://datosmacro.expansion.com/idh/tonga;0,726;98º;0
https://datosmacro.expansion.com/idh;Trinidad y Tobago [+];https://datosmacro.expansion.com/idh/trinidad-tobago;0,784;69º;3
https://datosmacro.expansion.com/idh;Túnez [+];https://datosmacro.expansion.com/idh/tunez;0,735;95º;-1
https://datosmacro.expansion.com/idh;Turkmenistán [+];https://datosmacro.expansion.com/idh/turkmenistan;0,706;108º;2
https://datosmacro.expansion.com/idh;Turquía [+];https://datosmacro.expansion.com/idh/turquia;0,791;64º;-1
https://datosmacro.expansion.com/idh;Ucrania [+];https://datosmacro.expansion.com/idh/ucrania;0,751;88º;-2
https://datosmacro.expansion.com/idh;Uganda [+];https://datosmacro.expansion.com/idh/uganda;0,516;162º;0
https://datosmacro.expansion.com/idh;Uruguay [+];https://datosmacro.expansion.com/idh/uruguay;0,804;55º;-1
https://datosmacro.expansion.com/idh;Uzbekistán [+];https://datosmacro.expansion.com/idh/uzbekistan;0,71;105º;-2
https://datosmacro.expansion.com/idh;Vanuatu [+];https://datosmacro.expansion.com/idh/vanuatu;0,603;138º;2
https://datosmacro.expansion.com/idh;Venezuela [+];https://datosmacro.expansion.com/idh/venezuela;0,761;78º;1
https://datosmacro.expansion.com/idh;Vietnam [+];https://datosmacro.expansion.com/idh/vietnam;0,694;116º;0
https://datosmacro.expansion.com/idh;Yemen [+];https://datosmacro.expansion.com/idh/yemen;0,452;178º;6
https://datosmacro.expansion.com/idh;Yibuti [+];https://datosmacro.expansion.com/idh/yibuti;0,476;172º;2
https://datosmacro.expansion.com/idh;Zambia [+];https://datosmacro.expansion.com/idh/zambia;0,588;144º;3
https://datosmacro.expansion.com/idh;Zimbabue [+];https://datosmacro.expansion.com/idh/zimbabue;0,535;156º;1
